gene,tpm
MSH4,0.06283
ASB17,0.0
ST6GALNAC3,0.06616
ST6GALNAC5,0.0
PIGK,8.424
AK5,0.0
ZZZ3,16.11
USP33,32.79
MIGA1,10.3
NEXN-AS1,0.2007
NEXN,4.967
FUBP1,121.3
DNAJB4,21.56
GIPC2,0.01756
PTGFR,0.01451
IFI44L,195.1
IFI44,189.7
ADGRL4,0.0372
ADGRL2,0.05293
LINC01362,0.03642
LINC01361,0.0
TTLL7,0.1103
TTLL7-IT1,0.0
PRKACB,6.189
SAMD13,0.4126
DNASE2B,0.0
RPF1,65.47
GNG5,283.2
SPATA1,1.166
CTBS,12.87
LINC01555,0.0
SSX2IP,4.842
LPAR3,0.1737
MCOLN2,224.0
MCOLN3,5.329
SYDE2,1.998
C1orf52,20.64
BCL10,24.75
DDAH1,0.1471
ZNHIT6,26.83
COL24A1,7.527
ODF2L,14.69
CLCA2,0.0
CLCA1,0.04096
CLCA4,0.08111
CLCA3P,0.0
SH3GLB1,57.35
HS2ST1,26.14
LINC01140,0.5499
LMO4,13.1
LINC01364,0.1539
PKN2,27.23
GTF2B,41.35
KYAT3,63.74
RBMXL1,15.06
GBP3,13.47
GBP1,66.14
GBP2,98.32
GBP4,122.1
GBP5,41.64
GBP6,7.19
GBP1P1,0.8143
LRRC8B,15.21
LRRC8D,30.41
ZNF326,13.62
ZNF644,22.34
HFM1,0.0
CDC7,28.06
TGFBR3,0.4717
BRDT,0.07891
EPHX4,0.0
BTBD8,0.09688
PRKAR1AP1,0.0
GLMN,16.45
RPAP2,5.735
GFI1,13.18
EVI5,0.9752
MTF2,47.1
TMED5,33.46
CCDC18,19.87
CCDC18-AS1,92.31
DR1,37.34
FNBP1L,0.2356
BCAR3,0.4425
DNTTIP2,25.64
GCLM,10.39
ABCA4,0.00834
ARHGAP29,0.01952
ABCD3,10.98
F3,0.7851
SLC44A3,0.0
CNN3,92.5
ALG14,1.001
RWDD3,21.71
PTBP2,5.033
DPYD,9.137
SNX7,0.1985
PLPPR5,0.0
PLPPR4,0.0
PALMD,0.0
FRRS1,9.955
AGL,22.16
SLC35A3,7.379
MFSD14A,101.1
SASS6,22.06
TRMT13,25.19
LRRC39,1.606
DBT,10.32
RTCA,46.21
CDC14A,5.365
GPR88,0.0
VCAM1,4.103
EXTL2,21.78
SLC30A7,23.53
DPH5,46.5
S1PR1,87.37
OLFM3,0.04577
COL11A1,0.0
RNPC3,46.42
PRMT6,29.15
NTNG1,0.5025
VAV3,0.2974
SLC25A24,0.4865
NBPF4,0.0
FAM102B,12.75
HENMT1,12.35
PRPF38B,71.95
FNDC7,0.02053
STXBP3,26.3
AKNAD1,0.0
SPATA42,0.0
GPSM2,14.08
CLCC1,34.18
WDR47,9.696
TAF13,19.88
TMEM167B,56.95
SCARNA2,0.0
CELSR2,0.1994
PSRC1,15.83
SORT1,1.294
PSMA5,53.11
SYPL2,3.02
ATXN7L2,7.217
CYB561D1,12.18
AMIGO1,1.263
GPR61,0.1681
GNAI3,11.91
AMPD2,25.9
GSTM4,24.67
GSTM2,12.43
GSTM1,0.469
GSTM5,0.03518
GSTM3,1.474
EPS8L3,0.0
CSF1,13.03
AHCYL1,82.83
STRIP1,30.06
ALX3,0.0
UBL4B,0.09255
SLC6A17,0.0
KCNC4,0.9885
RBM15,26.64
LAMTOR5-AS1,0.8009
SLC16A4,2.412
LAMTOR5,118.5
PROK1,0.0
CYMP,0.0
KCNA10,0.0
KCNA2,0.2401
KCNA3,17.73
CD53,836.7
LRIF1,45.01
DRAM2,145.8
CEPT1,43.4
DENND2D,74.18
CHI3L2,150.9
CHIAP2,0.0
CHIA,0.0
PIFO,0.9792
OVGP1,3.384
WDR77,49.94
C1orf162,5.807
ADORA3,0.3726
RAP1A,100.4
DDX20,18.36
KCND3,0.03479
CTTNBP2NL,5.801
WNT2B,0.4353
ST7L,2.523
CAPZA1,239.0
MOV10,25.04
RHOC,84.49
PPM1J,0.6902
LINC01356,0.0
SLC16A1,35.84
SLC16A1-AS1,7.469
LRIG2,8.075
MAGI3,0.301
PHTF1,13.15
RSBN1,19.76
PTPN22,52.01
BCL2L15,0.2524
AP4B1,21.21
DCLRE1B,10.69
HIPK1-AS1,0.4002
HIPK1,35.59
OLFML3,0.1455
SYT6,0.09381
TRIM33,27.73
BCAS2,76.45
DENND2C,0.286
AMPD1,0.04571
NRAS,97.1
CSDE1,516.3
SIKE1,33.17
SYCP1,0.0
TSHB,0.0
TSPAN2,0.08023
NGF,0.0
VANGL1,1.706
CASQ2,0.1729
NHLH2,0.01814
SLC22A15,0.1551
MAB21L3,0.2941
ATP1A1,341.9
ATP1A1-AS1,4.691
CD58,112.2
IGSF3,2.172
CD2,2.811
PTGFRN,0.3661
CD101,0.4384
TTF2,38.97
TRIM45,1.143
VTCN1,0.0
MAN1A2,16.61
GDAP2,6.464
WDR3,25.64
SPAG17,0.1141
TBX15,0.1797
WARS2,16.79
HAO2,0.0
HSD3B2,0.0
HSD3B1,0.0
LINC00622,0.0
ZNF697,0.5156
PHGDH,37.73
HMGCS2,0.05321
REG4,0.1567
ADAM30,0.04617
NOTCH2,2.375
SEC22B,23.43
NBPF8,15.07
LINC00623,5.215
SRGAP2C,1.263
NBPF20,0.4141
PDZK1,0.4137
CD160,0.09634
RNF115,18.03
POLR3C,32.4
NUDT17,3.996
PIAS3,20.87
ANKRD35,0.04068
ITGA10,0.4613
PEX11B,51.89
GNRHR2,3.31
RBM8A,41.11
LIX1L,41.36
ANKRD34A,0.9933
POLR3GL,56.13
TXNIP,184.5
HYDIN2,0.0
PRKAB2,38.56
FMO5,0.2709
CHD1L,69.98
LINC00624,1.61
BCL9,5.977
ACP6,4.762
GJA5,0.0
GJA8,0.0
GPR89B,6.636
LINC01138,1.797
PDE4DIP,1.776
LINC00869,0.8702
FCGR1A,0.4842
BOLA1,18.98
SV2A,0.8365
SF3B4,66.91
MTMR11,0.3711
OTUD7B,4.31
VPS45,21.39
PLEKHO1,43.16
ANP32E,134.9
CA14,0.1114
APH1A,156.7
C1orf54,5.72
CIART,6.002
MRPS21,85.65
PRPF3,39.98
RPRD2,12.7
ECM1,2.972
ADAMTSL4,1.887
MCL1,200.4
ENSA,63.22
GOLPH3L,28.76
HORMAD1,0.0
CTSS,104.8
CTSK,11.96
ARNT,41.8
SETDB1,39.82
CERS2,38.38
ANXA9,0.8241
PRUNE1,17.77
BNIPL,0.6386
C1orf56,4.114
CDC42SE1,196.5
MLLT11,11.74
GABPB2,6.364
SEMA6C,1.648
TNFAIP8L2,16.72
LYSMD1,18.42
VPS72,61.87
PIP5K1A,57.07
PSMD4,153.2
ZNF687,18.21
PI4KB,64.8
RFX5,136.5
SELENBP1,0.2934
PSMB4,484.5
POGZ,59.81
CGN,2.285
TUFT1,1.869
SNX27,13.18
CELF3,0.01609
RIIAD1,0.0
MRPL9,130.8
OAZ3,0.2405
TDRKH,3.833
RORC,0.0
THEM5,0.8341
THEM4,9.123
S100A10,5.851
S100A11,18.91
TCHH,0.01956
RPTN,0.0
FLG-AS1,0.009789
FLG,0.03408
FLG2,0.02249
CRNN,0.1438
CRCT1,0.1954
LCE3D,0.2232
LINC00302,0.0
LCE2B,0.0
C1orf68,0.1441
LCE1E,0.1053
LCE1B,0.2402
SMCP,0.0
IVL,0.1906
LINC01527,0.0
SPRR4,0.0
SPRR1A,0.5067
SPRR3,0.6171
SPRR1B,0.4413
SPRR2B,0.0
SPRR2C,0.0
SPRR2G,0.4817
LELP1,0.1308
PRR9,0.0
PGLYRP3,0.5831
PGLYRP4,2.017
S100A9,13.04
S100A12,0.0
S100A8,4.419
S100A7A,0.03069
S100A7,0.5104
S100A6,23.96
S100A5,0.08724
S100A4,24.42
S100A3,0.0
S100A2,0.3492
S100A16,0.5629
S100A14,0.4285
