idx	gene_symbol
1175	BTN2A1
1176	BTN2A2
1177	BTN3A1
1178	BTN3A2
1179	BTN3A3
1180	BTNL2
1181	BTNL3
1182	BTNL8
1183	BTRC
1184	BUB1
1185	BUB3
1186	BUD13
1187	BUD31
1188	BVES
1189	BYSL
1190	BZW1
1191	BZW2
1192	C10orf88
1193	C11orf1
1194	C11orf21
1195	C11orf24
1196	C11orf54
1197	C11orf58
1198	C11orf65
1199	C11orf68
1200	C11orf71
1201	C11orf80
1202	C12orf29
1203	C12orf4
1204	C12orf43
1205	C12orf50
1206	C12orf57
1207	C12orf60
1208	C12orf75
1209	C12orf76
1210	C14orf132
1211	C14orf39
1212	C14orf93
1213	C15orf39
1214	C15orf40
1215	C15orf48
1216	C16orf46
1217	C16orf54
1218	C16orf72
1219	C16orf74
1220	C16orf87
1221	C17orf58
1222	C17orf64
1223	C17orf75
1224	C17orf80
1225	C17orf97
1226	C18orf21
1227	C18orf25
1228	C19orf12
1229	C19orf25
1230	C19orf33
1231	C19orf44
1232	C19orf47
1233	C19orf53
1234	C19orf54
1235	C1GALT1
1236	C1GALT1C1
1237	C1QA
1238	C1QB
1239	C1QBP
1240	C1QC
1241	C1QL1
1242	C1QTNF1
1243	C1QTNF4
1244	C1QTNF6
1245	C1RL
1246	C1S
1247	C1orf109
1248	C1orf115
1249	C1orf116
1250	C1orf131
1251	C1orf159
1252	C1orf162
1253	C1orf174
1254	C1orf198
1255	C1orf21
1256	C1orf210
1257	C1orf216
1258	C1orf226
1259	C1orf35
1260	C1orf43
1261	C1orf50
1262	C1orf52
1263	C1orf54
1264	C1orf56
1265	C1orf74
1266	C1orf87
1267	C2
1268	C20orf141
1269	C20orf27
1270	C21orf58
1271	C21orf91
1272	C22orf15
1273	C22orf23
1274	C22orf39
1275	C22orf46
1276	C2CD2
1277	C2CD2L
1278	C2CD3
1279	C2CD5
1280	C2orf15
1281	C2orf42
1282	C2orf49
1283	C2orf68
1284	C2orf69
1285	C2orf88
1286	C3
1287	C3AR1
1288	C3orf14
1289	C3orf18
1290	C3orf22
1291	C3orf36
1292	C3orf38
1293	C3orf62
1294	C4BPA
1295	C4orf19
1296	C4orf3
1297	C4orf33
1298	C4orf36
1299	C5
1300	C5AR1
1301	C5AR2
1302	C5orf15
1303	C5orf22
1304	C5orf24
1305	C5orf34
1306	C6orf136
1307	C6orf47
1308	C6orf62
1309	C6orf89
1310	C7
1311	C7orf50
1312	C8G
1313	C8orf33
1314	C8orf34
1315	C8orf44
1316	C8orf48
1317	C8orf58
1318	C8orf88
1319	C9orf131
1320	C9orf24
1321	C9orf40
1322	C9orf64
1323	C9orf72
1324	C9orf78
1325	C9orf85
1326	CA1
1327	CA11
1328	CA12
1329	CA14
1330	CA2
1331	CA3
1332	CA4
1333	CA5B
1334	CA6
1335	CA8
1336	CA9
1337	CAAP1
1338	CAB39
1339	CAB39L
1340	CABIN1
1341	CABLES1
1342	CABP1
1343	CABP2
1344	CABP4
1345	CABP5
1346	CABP7
1347	CABYR
1348	CACHD1
1349	CACNA1B
1350	CACNA1D
1351	CACNA1E
1352	CACNA1G
1353	CACNA1H
1354	CACNA1I
1355	CACNA1S
1356	CACNA2D1
1357	CACNA2D2
1358	CACNA2D3
1359	CACNA2D4
1360	CACNB1
1361	CACNB2
1362	CACNB3
1363	CACNB4
1364	CACNG6
1365	CACNG8
1366	CACTIN
1367	CACUL1
1368	CACYBP
1369	CAD
1370	CADM1
